DATE;Location;GEOGRAPHY_CODE;Gender;Age Group;Claimant Count;Claimant Rate (% of population);partlookup;lookup;Population;partdem;demographic_category
2020-08-01;Leicester;E06000016;Total;Aged 16-24;3540;5.937505241441774;LeicesterTotal;LeicesterTotalAged 16-24;59621;Leicester Total;Leicester Total Aged 16-24
2020-08-01;Leicester;E06000016;Total;Aged 30-34;2270;8.255145828787548;LeicesterTotal;LeicesterTotalAged 30-34;27498;Leicester Total;Leicester Total Aged 30-34
2020-08-01;Leicester;E06000016;Total;Aged 50-54;1345;6.143516192390262;LeicesterTotal;LeicesterTotalAged 50-54;21893;Leicester Total;Leicester Total Aged 50-54
2020-08-01;Leicester;E06000016;Total;Aged 60-64;1020;5.905853743269064;LeicesterTotal;LeicesterTotalAged 60-64;17271;Leicester Total;Leicester Total Aged 60-64
2020-08-01;Leicester;E06000016;Male;All categories: Age 16+;10450;8.558768847719437;LeicesterMale;LeicesterMaleAll categories: Age 16+;122097;Leicester Male;Leicester Male All categories: Age 16+
2020-08-01;Leicester;E06000016;Male;Aged 50-54;770;7.050636388609102;LeicesterMale;LeicesterMaleAged 50-54;10921;Leicester Male;Leicester Male Aged 50-54
2020-08-01;Leicester;E06000016;Male;Aged 60-64;555;6.412478336221837;LeicesterMale;LeicesterMaleAged 60-64;8655;Leicester Male;Leicester Male Aged 60-64
2020-08-01;Leicester;E06000016;Female;All categories: Age 16+;6955;5.545146501893562;LeicesterFemale;LeicesterFemaleAll categories: Age 16+;125425;Leicester Female;Leicester Female All categories: Age 16+
2020-08-01;Leicester;E06000016;Female;Aged 16-24;1395;4.608218816067653;LeicesterFemale;LeicesterFemaleAged 16-24;30272;Leicester Female;Leicester Female Aged 16-24
2020-08-01;Leicester;E06000016;Female;Aged 45-49;680;5.985915492957746;LeicesterFemale;LeicesterFemaleAged 45-49;11360;Leicester Female;Leicester Female Aged 45-49
2020-08-01;Leicester;E06000016;Female;Aged 50-54;580;5.286183011301495;LeicesterFemale;LeicesterFemaleAged 50-54;10972;Leicester Female;Leicester Female Aged 50-54
2020-08-01;England;E92000001;Total;Aged 25-29;321080;8.64214112356986;EnglandTotal;EnglandTotalAged 25-29;3715283;England Total;England Total Aged 25-29
2020-08-01;England;E92000001;Total;Aged 35-39;261115;6.87979364439491;EnglandTotal;EnglandTotalAged 35-39;3795390;England Total;England Total Aged 35-39
2020-08-01;England;E92000001;Total;Aged 40-44;219215;6.1226296682555;EnglandTotal;EnglandTotalAged 40-44;3580406;England Total;England Total Aged 40-44
2020-08-01;England;E92000001;Total;Aged 45-49;206550;5.733287626174658;EnglandTotal;EnglandTotalAged 45-49;3602645;England Total;England Total Aged 45-49
